maquina_for_name,maquina_loc_name,gov_modelo,gov_dsl,param,valor
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Rselect,-1.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Aset,1.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,r,0.04
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,db,0.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kpgov,5.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kigov,0.05
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kdgov,5.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tdgov,0.1
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tact,0.1
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Trate,0.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Dm,0.001
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Flag,0.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Teng,0.0
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tc,0.1
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Tb,0.2
G4QUIS22,Quisqueya 2 Grupo 2,gov_GGOV1,gov_Quisqueya 2 G2,Kiload,0.02
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Ldref,1.2
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kturb,1.05
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Wfnl,0.01
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kpload,0.2
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tfload,20.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tsa,0.5
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tsb,5.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Ka,10.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Ta,0.1
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kimw,0.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tpelec,2.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Rselect,-1.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Aset,1.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,r,0.04
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,db,0.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kpgov,5.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kigov,0.05
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kdgov,5.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tdgov,0.1
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tact,0.1
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Trate,0.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Dm,0.001
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Flag,0.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Teng,0.0
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tc,0.1
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Tb,0.2
G4QUIS23,Quisqueya 2 Grupo 3,gov_GGOV1,gov_Quisqueya 2 G3,Kiload,0.02
G4QUIS13,Quisqueya 1 Grupo 3,gov_GGOV1,gov_Quisqueya 1 G3,Ldref,1.2
G4QUIS13,Quisqueya 1 Grupo 3,gov_GGOV1,gov_Quisqueya 1 G3,Kturb,1.05
G4QUIS13,Quisqueya 1 Grupo 3,gov_GGOV1,gov_Quisqueya 1 G3,Wfnl,0.01
G4QUIS13,Quisqueya 1 Grupo 3,gov_GGOV1,gov_Quisqueya 1 G3,Kpload,0.2
G4QUIS13,Quisqueya 1 Grupo 3,gov_GGOV1,gov_Quisqueya 1 G3,Tfload,20.0
