escenario,for_name,loc_name,clase,tap_actual,tap_hv,tap_mv,tap_lv,outserv
P01,WGVEGF_WLVE2K-T1,69/13.8 kV Transformador La Vega Grupo 2,ElmTr2,4,,,,0
P01,WBPERF_WAVA1K-T1,69/12.5 kV Transformador Aniana Vargas,ElmTr2,0,,,,0
P01,WJIMEF_WJIMEK-T1,69/12.5 kV Transformador Jimenoa,ElmTr2,0,,,,0
P01,WHATIF_WHATIK-T1,69/12.5 kV Transformador Hatillo 1,ElmTr2,2,,,,0
P01,WHATIF_WHAT2K-T1,69/12.5 kV Transformador Hatillo 2,ElmTr2,0,,,,0
P01,WBDERF_WBDERK-T1,69/13.8 kV Transformador Brazo Derecho,ElmTr2,0,,,,0
P01,WPDORE_WPDORF-T1,138/69 kV Trafo Playa Dorada,ElmTr2,12,,,,0
P01,WEMA3F_WEMA3K-T1,66/13.8/13.8 kV Transformador EDM3,ElmTr3,,0,0,0,0
P01,WSFELE_WSFEGK-T1,138/13.8 kV Transformador San Felipe,ElmTr3,,-1,0,0,1
P01,WMETRE_WMETRF-T1,138/69 kV Transformador Metropolitano,ElmTr3,,0,0,0,1
P02,WMPSOF_WMPSOK-T1,69/20 kV Transformador Monte Plata Solar,ElmTr2,0,,,,0
P02,WGPALF_WPAL3K-T1,69/13.8 kV Transformador Palamara Grupo3,ElmTr2,0,,,,0
P02,WGPALF_WPAL2K-T1,69/13.8 kV Transformador Palamara Grupo2,ElmTr2,0,,,,0
P02,WGPALF_WPAL1K-T1,69/13.8 kV Transformador Palamara Grupo1,ElmTr2,0,,,,0
P02,WINCAF-WINCAK-T2,69/12.5 kV INCA km 22 T2,ElmTr2,-1,,,,0
P02,WEMA3F_WEMB3K-T1,66/13.8 kV Transformador EDM3,ElmTr2,0,,,,0
P02,WMPALF_WMPALK-T1,69/34.5 kV Transformador Mata de Palma,ElmTr2,8,,,,0
P02,WMARTF_WMARTK-T1,69/34.5 kV Transformador Martí,ElmTr2,3,,,,0
P02,WHNS1F_WMARAK-T1,69/13.8 kV Transformador Maranatha,ElmTr2,0,,,,0
P02,WINCAF-WINCAK-T1,69/12.5 kV INCA km 22 T1,ElmTr2,0,,,,0
P02,WJSAUD_WJSAUE-T1,345/138 kV Transformador 1 Julio Sauri,ElmTr2,9,,,,0
P02,WJSAUD_WJSAUE-T2,345/138 kV Transformador 2 Julio Sauri,ElmTr2,9,,,,0
P02,WNARAD_WNARAE-T2,345/138 kV Transformador 2 El Naranjo,ElmTr2,5,,,,0
P02,WNARAD_WNARAE-T1,345/138 kV Transformador 1 El Naranjo,ElmTr2,5,,,,0
P02,WQU11D_WQU21K-T1,230/13.8 kV Transformador Quisqueya 2 G1,ElmTr2,0,,,,0
P02,WQU11D_WQU22K-T2,230/13.8 kV Transformador Quisqueya 2 G2,ElmTr2,0,,,,0
P02,WQU11D_WQU23K-T3,230/13.8 kV Transformador Quisqueya 2 G3,ElmTr2,0,,,,0
P02,WQUISD_WQ1SPK-T1,230/13.8 kV Transformador Q1 San Pedro,ElmTr2,0,,,,0
P02,WQU21D_WQU12K-T2,230/13.8 kV Transformador Quisqueya 1 G2,ElmTr2,0,,,,0
P02,WQU21D_WQU13K-T3,230/13.8 kV Transformador Quisqueya 1 G3,ElmTr2,0,,,,0
P02,WPVDCD_WPVD1K-T1,230/34.5 kV Transformador 1 PVDC,ElmTr2,0,,,,0
P02,WPVDCD_WPVD2K-T1,230/34.5 kV Transformador 2 PVDC,ElmTr2,0,,,,0
P02,WPCA2D_WPCA1K-T1,345/22 kV Transformador Punta Catalina 1,ElmTr2,3,,,,0
P02,WPCA2D_WPCA2K-T1,345/22 kV Transformador Punta Catalina 2,ElmTr2,3,,,,0
P02,WBON3D_WBON3C-T1,345/230 kV Transformador 2 Bonao 3,ElmTr2,22,,,,0
P02,WBON3C_WBON3E-T2,230/138 kV Transformador 2 Bonao 3,ElmTr2,10,,,,0
P02,WGUERD_WGUERE-T1,345/138 kV Transformador 1 Guerra,ElmTr2,6,,,,0
P02,WGUERD_WGUERE-T2,345/138 kV Transformador 2 Guerra,ElmTr2,6,,,,0
P02,WSESTE_WSES1K-T1,138/13.8 kV Transformador Sultana Este 1,ElmTr2,0,,,,0
P02,WSESTE_WSES2K-T1,138/13.8 kV Transformador Sultana Este 2,ElmTr2,-2,,,,1
P02,WSESTE_WSES3K-T1,138/13.8 kV Transformador Sultana Este 3,ElmTr2,-10,,,,1
P02,WLROME_WLROMF-T1,138/69 kV Transformador La Romana,ElmTr2,13,,,,0
P02,WSPM2E_WCES3K-T1,138/13.8 kV Transformador CESPM 3,ElmTr2,0,,,,0
