for_name,loc_name,ruta,P_MW,Q_Mvar,escala,outserv
ZZSPCF-D1,Demanda ZF San Pedro Chentec,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda ZF San Pedro Chentec.ElmLod,0.8600000143051147,0.2800000011920929,1.0,0
ZYAMAF-D1,Demanda Yamasá,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Yamasá.ElmLod,15.979999542236328,5.78000020980835,1.0,0
ZMPLAF-D1,Demanda 1 Monte Plata,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 1 Monte Plata.ElmLod,14.479999542236328,5.369999885559082,1.0,0
ZGUAVF-D1,Demanda Guavaberry,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Guavaberry.ElmLod,0.3199999928474426,0.5099999904632568,1.0,0
ZXCIGF-D1,Demanda César Iglesias,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda César Iglesias.ElmLod,6.599999904632568,3.009999990463257,1.0,0
ZMPSOK-D1,SSAA Monte Plata Solar,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Monte Plata Solar.ElmSite\SSAA Monte Plata Solar.ElmLod,0.0,0.0,1.0,1
ZLRMAF-D2,Demanda 2 La Romana Pueblo,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 2 La Romana Pueblo.ElmLod,9.989999771118164,3.2799999713897705,1.0,0
ZMPLAF-D2,Demanda 2 Monte Plata,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda 2 Monte Plata.ElmLod,12.930000305175781,4.800000190734863,1.0,0
ZSPRIF-D1,Demanda Sierra Prieta,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\Demanda Sierra Prieta.ElmLod,2.25,0.9599999785423279,1.0,0
ZSES1K-D1,SSAA Sultana del Este 1,\VM-PF.IntUser\PDD 30-09-2025.IntPrj\Network Model.IntPrjfolder\Network Data.IntPrjfolder\ESTE 69 kV.ElmNet\SSAA Sultana del Este 1.ElmLod,0.9100000262260437,0.38999998569488525,1.0,0
